time_mandante;time_visitante;gols_mandante;gols_visitante;gols_1_tempo_mandante;gols_1_tempo_visitante;escanteios_mandante;escanteios_visitante;faltas_mandante;faltas_visitante;chutes_bola_parada_mandante;chutes_bola_parada_visitante;defesas_mandante;defesas_visitante;impedimentos_mandante;impedimentos_visitante;chutes_mandante;chutes_visitante;chutes_fora_mandante;chutes_fora_visitante;resultado;NaN;NaN;NaN;NaN;NaN
Atletico Mineiro;Cuiaba;1;1;1;1;8;6;13;14;12;13;4;3;3;0;13;11;7;2;3;NaN;NaN;NaN;NaN;NaN
Atletico Mineiro;Fluminense;0;2;0;1;5;2;19;7;7;19;5;0;1;0;19;8;14;1;3;NaN;NaN;NaN;NaN;NaN
Criciuma;Cuiaba;2;5;0;3;6;2;10;13;13;10;2;6;5;0;22;13;9;4;3;NaN;NaN;NaN;NaN;NaN
Criciuma;Athletico Paranaense;0;0;0;0;12;1;11;12;12;10;3;7;0;0;25;10;12;5;3;NaN;NaN;NaN;NaN;NaN
Internacional;Juventude;2;1;0;1;8;1;19;17;16;19;2;8;1;0;21;8;7;4;1;NaN;NaN;NaN;NaN;NaN
Internacional;Atletico Mineiro;1;2;0;0;5;9;17;10;10;16;3;6;3;0;13;16;3;5;3;NaN;NaN;NaN;NaN;NaN
Internacional;Cruzeiro;1;0;0;0;12;3;12;9;9;12;3;8;0;0;19;5;8;2;1;NaN;NaN;NaN;NaN;NaN
RB Bragantino;Palmeiras;0;0;0;0;1;3;7;14;13;7;5;5;3;0;17;14;5;6;3;NaN;NaN;NaN;NaN;NaN
Vasco;Vitoria;2;1;0;0;4;4;12;12;12;12;4;6;1;0;17;13;3;5;1;NaN;NaN;NaN;NaN;NaN
Vasco;Botafogo;1;1;0;0;0;5;13;23;20;12;5;1;0;0;10;13;6;4;3;NaN;NaN;NaN;NaN;NaN
Gremio;Athletico Paranaense;2;0;1;0;9;2;7;13;13;7;0;5;0;1;14;4;4;3;1;NaN;NaN;NaN;NaN;NaN
Gremio;Criciuma;1;2;0;1;6;3;8;12;12;6;2;2;0;1;15;11;6;5;3;NaN;NaN;NaN;NaN;NaN
Gremio;RB Bragantino;0;2;0;1;6;0;16;19;19;15;2;1;0;1;9;14;4;7;3;NaN;NaN;NaN;NaN;NaN
Gremio;Bahia;0;2;0;1;1;5;10;10;10;10;3;5;1;1;13;12;5;3;3;NaN;NaN;NaN;NaN;NaN
Gremio;Flamengo;3;2;1;1;4;6;6;13;12;5;6;1;1;1;12;20;5;7;1;NaN;NaN;NaN;NaN;NaN
Gremio;Fortaleza;3;1;1;1;10;2;11;9;9;10;4;2;2;1;16;7;5;2;1;NaN;NaN;NaN;NaN;NaN
Botafogo;Juventude;5;1;2;0;5;4;22;10;10;20;0;1;1;1;13;12;5;5;1;NaN;NaN;NaN;NaN;NaN
Botafogo;RB Bragantino;2;1;1;1;7;4;13;12;12;12;5;2;1;1;12;13;7;4;1;NaN;NaN;NaN;NaN;NaN
Botafogo;Corinthians;2;1;1;0;6;3;12;7;7;11;1;8;0;1;21;12;4;7;1;NaN;NaN;NaN;NaN;NaN
Cruzeiro;Internacional;0;0;0;0;10;3;12;13;12;11;0;4;1;1;19;1;12;1;3;NaN;NaN;NaN;NaN;NaN
Cruzeiro;Cuiaba;2;1;1;0;6;4;9;12;12;9;4;4;0;1;12;16;5;5;1;NaN;NaN;NaN;NaN;NaN
Cruzeiro;Sao Paulo;0;1;0;0;7;7;11;10;10;11;3;1;1;1;14;14;9;5;3;NaN;NaN;NaN;NaN;NaN
Bahia;Vasco;2;1;1;1;7;0;14;15;13;14;2;6;4;1;17;9;6;6;1;NaN;NaN;NaN;NaN;NaN
Flamengo;Botafogo;0;2;0;0;8;3;12;15;15;12;1;0;2;1;15;9;11;1;3;NaN;NaN;NaN;NaN;NaN
Flamengo;Corinthians;2;0;1;0;13;6;12;16;16;11;3;8;1;1;18;13;4;5;1;NaN;NaN;NaN;NaN;NaN
Flamengo;RB Bragantino;2;1;1;0;6;10;13;12;12;13;1;6;1;1;13;12;2;9;1;NaN;NaN;NaN;NaN;NaN
